,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,num_samples,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
91,0V9nYd8GP60PUpZLEHEfQO,0.783,0.557,1,-6.642,1,0.0808,0.019,1.82e-06,0.263,0.225,91.002,4358346,197.65741,0.0,191.67493,-6.642,91.002,0.554,4,1.0,1,1.0,1,0.949
92,6q409reiFxclxgENGhNbos,0.457,0.7,1,-5.646,0,0.249,0.0643,9.79e-06,0.173,0.334,86.874,2878399,130.53964,0.0,123.20508,-5.646,86.874,0.225,4,1.0,1,0.548,0,0.459
93,4m5IAUIgTkfYKiTTlU3ejV,0.749,0.594,8,-4.85,1,0.168,0.0864,0.0,0.119,0.242,87.784,3660637,166.01527,3.97061,159.39919,-4.85,87.784,0.042,4,1.0,8,0.155,1,0.366
94,1ZcBi7Nv1DB0PZZV3SmZHT,0.769,0.68,8,-5.469,1,0.328,0.0336,0.0,0.144,0.379,170.018,3589632,162.7951,0.0,157.39066,-5.469,170.018,0.094,4,1.0,8,0.165,1,0.553
95,5JTpxBVeKqCPwECQVcWyjZ,0.748,0.705,11,-5.961,0,0.32,0.0655,0.0,0.111,0.158,77.816,5990745,271.68912,0.0,262.55963,-5.961,77.816,0.0,4,1.0,11,0.38,0,0.295
96,3rMZ9DAHvJ9Kkqs3E66Nn5,0.605,0.732,8,-4.57,1,0.202,0.0875,0.0,0.289,0.326,86.035,4846249,219.78455,0.0,215.91655,-4.57,86.035,0.167,4,1.0,8,0.082,1,0.27
97,6gLX2CZb7amBVbu5xuxVYs,0.515,0.736,0,-3.781,0,0.406,0.215,1e-06,0.0985,0.629,80.543,5934459,269.13647,2.38005,269.13647,-3.781,80.543,0.251,4,1.0,0,0.928,0,0.859
98,6jnOqB2HQJ1znBsNQx0o5H,0.813,0.586,4,-7.513,0,0.0729,0.0981,0.000122,0.118,0.261,86.996,4233376,191.98984,0.0,187.41406,-7.513,86.996,0.377,4,0.985,4,0.505,0,0.488
99,1hWtzLBICbzzv7czk1yxz3,0.693,0.641,2,-5.002,0,0.137,0.026,0.0,0.193,0.217,139.987,4544743,206.1108,0.0,203.01205,-5.002,139.987,0.235,4,1.0,2,0.319,0,0.5
100,6zxx3R58qqCdHJyLsQfdJ1,0.54,0.598,5,-5.867,0,0.379,0.112,4.61e-05,0.1,0.323,175.049,4134689,187.51424,0.0,169.24445,-5.867,175.049,0.221,4,1.0,5,0.459,0,0.599
101,5pP5pJ0ieXRn3N7dzHARov,0.447,0.537,10,-6.399,0,0.342,0.811,1.43e-05,0.138,0.513,79.426,4563052,206.94113,0.0,201.74658,-6.399,79.426,0.208,4,0.995,10,0.355,0,0.504
102,5Mamj7jymsu43QMLjx7siu,0.225,0.669,7,-12.252,1,0.236,0.201,0.00494,0.889,0.264,51.115,5292882,240.04,3.18694,226.62096,-12.252,51.115,0.021,3,0.594,7,0.001,1,0.096
103,1rU8VjpvCD6zo6Gjpel11s,0.487,0.858,5,-6.552,1,0.0627,6.17e-05,0.000122,0.282,0.358,81.169,4929204,223.54668,0.0,223.54666,-6.552,81.169,0.0,4,1.0,5,0.363,1,0.361
